Galaksi,Tip,YAY_logMb,YAY_elogMb,YAY_Vf,YAY_eVf,YAY_V2exp,YAY_eV2exp,YAY_V2eff,YAY_eV2eff,YAY_Vmax,YAY_eVmax,YAY_Wp20,YAY_eWp20,YAY_Wm50,YAY_eWm50,YAY_Wm50c,YAY_eWm50c,R_dis_kpc,Vbar_dis_kms,l_omega_kpc,l_om_bolu_R,TEORI_v_yalnizF4,TEORI_v_TAM,FARK_dex_TAM,LCDM_Vmax_kms
UGC11914,Sab,10.88,0.28,288.1,43.2,285.6,45.1,283.0,41.9,305.0,44.6,695.1,101.4,621.3,92.0,617.4,91.5,9.83,192.1,15.82,1.609,143.6,239.9,-0.080,280.8
NGC3953,Sbc,10.87,0.16,220.8,8.0,223.8,6.0,223.1,6.4,224.0,6.0,482.5,6.7,472.3,18.5,467.8,18.5,15.68,159.2,15.64,0.997,142.8,213.8,-0.014,268.0
NGC0289,Sbc,10.86,0.22,163.0,17.8,178.5,15.6,175.5,31.6,194.0,35.9,419.8,35.9,400.4,36.2,389.2,35.3,71.12,71.0,15.46,0.217,142.0,158.7,-0.012,171.5
NGC5033,Sc,10.85,0.27,194.2,4.7,219.1,3.4,224.4,8.2,225.0,8.2,492.6,5.5,491.5,18.4,480.5,18.4,44.59,88.6,15.28,0.343,141.1,166.6,-0.067,223.1
UGC03205,Sab,10.84,0.20,219.6,10.9,235.6,9.1,218.9,8.5,237.0,12.2,478.2,16.3,471.5,16.1,462.8,16.4,40.04,92.2,15.11,0.377,140.3,167.9,-0.116,227.6
NGC4088,Sbc,10.81,0.15,171.7,8.4,166.3,8.3,174.0,6.6,182.0,6.6,399.5,7.3,363.1,13.9,354.5,13.8,21.48,118.9,14.60,0.680,137.9,182.1,+0.026,218.4
NGC4157,Sb,10.80,0.15,184.7,9.3,189.3,8.5,200.4,7.4,201.0,7.1,429.2,7.7,402.9,14.3,399.9,14.3,29.61,99.2,14.43,0.487,137.1,169.2,-0.038,216.1
UGC09037,Scd,10.78,0.11,152.3,14.9,131.7,7.6,139.7,8.8,160.0,9.8,350.9,14.6,329.9,21.7,318.9,21.4,27.96,98.6,14.10,0.504,135.6,167.6,+0.042,167.4
UGC06787,Sab,10.75,0.24,248.1,7.7,243.2,6.0,233.0,6.2,276.0,14.1,533.1,16.6,0.0,0.0,0.0,0.0,37.19,90.4,13.62,0.366,133.2,161.0,-0.188,205.7
UGC03546,Sa,10.73,0.24,196.9,15.3,197.9,12.5,194.3,17.8,262.0,75.3,456.6,28.3,0.0,0.0,0.0,0.0,29.23,96.0,13.31,0.455,131.7,163.0,-0.082,210.0
NGC4051,Sbc,10.71,0.16,157.0,10.9,155.0,10.2,0.0,0.0,161.0,9.0,353.8,18.0,326.0,16.9,320.7,16.6,12.19,125.8,13.01,1.067,130.2,181.0,+0.062,201.5
NGC1090,Sbc,10.68,0.23,164.4,5.7,165.3,12.8,174.8,5.5,176.0,8.6,379.4,11.4,366.0,17.7,354.9,17.5,30.09,91.6,12.57,0.418,128.0,157.4,-0.019,171.5
NGC3521,Sbc,10.68,0.28,213.7,16.9,214.2,23.6,218.1,15.5,220.0,9.8,484.5,12.4,471.6,15.2,465.9,15.1,17.74,112.4,12.57,0.708,128.0,170.4,-0.098,187.5
NGC4217,Sb,10.66,0.16,181.3,9.1,184.4,6.4,190.8,5.6,191.0,6.4,422.0,13.0,396.0,19.0,388.9,19.0,16.72,126.0,12.28,0.735,126.5,178.6,-0.007,188.1
NGC2903,Sbc,10.65,0.28,184.6,7.5,212.6,5.3,201.0,4.8,216.0,5.9,429.1,11.2,414.9,12.6,412.7,12.5,24.96,90.0,12.14,0.486,125.8,154.7,-0.077,183.7
