full_name,diameter,rot_per,albedo,class,H,GM
   222 Lucia (A882 CA),55.350,7.8371,0.128,MBA,9.60,
   223 Rosa (A882 EA),79.806,20.283,0.020,MBA,9.88,
   224 Oceana (A882 FA),58.236,9.401,0.166,MBA,8.67,
   225 Henrietta (A882 HA),95.934,7.3556,0.062,OMB,8.78,
   226 Weringia (A882 OA),31.494,11.147,0.352,MBA,9.84,
   227 Philosophia (A882 PA),123.891,26.468,0.065,MBA,9.13,
   228 Agathe (A882 QA),9.30,6.484,0.2082,MBA,12.27,
   229 Adelinda (A882 QB),105.912,6.6,0.035,OMB,9.32,
   230 Athamantis (A882 RA),111.332,24.0055,0.164,MBA,7.43,
   231 Vindobona (A882 RB),73.545,14.245,0.068,MBA,9.71,
   232 Russia (A883 BA),54.730,21.905,0.031,MBA,10.58,
   233 Asterope (A883 JA),99.672,19.694,0.094,MBA,8.41,
   234 Barbara (A883 PA),45.476,26.4744,0.205,MBA,9.11,
   235 Carolina (A883 WA),57.517,17.61,0.177,MBA,8.98,
   236 Honoria (A884 HA),77.708,12.338,0.156,MBA,8.19,
   237 Coelestina (A884 MA),41.08,29.215,0.2108,MBA,9.15,
   238 Hypatia (A884 NA),155.659,8.8749,0.039,MBA,8.04,
   239 Adrastea (A884 QA),37.609,18.4707,0.095,MBA,10.50,
   240 Vanadis (A884 QB),87.928,10.565,0.031,MBA,9.13,
   241 Germania (A884 RA),168.90,15.51,0.0575,MBA,7.73,
   242 Kriemhild (A884 SA),40.802,4.5478,0.222,MBA,9.50,
   243 Ida (A884 SB),32,4.634,0.262,MBA,10.06,0.00275
   244 Sita (A884 TA),11.077,129.51,0.256,MBA,11.99,
   245 Vera (A885 CA),75.949,14.38,0.228,MBA,7.95,
   246 Asporina (A885 EA),50.891,16.222,0.193,MBA,8.62,
   247 Eukrate (A885 EB),130.935,12.093,0.064,MBA,8.14,
   248 Lameia (A885 LA),50.120,11.912,0.062,MBA,10.29,
   249 Ilse (A885 QA),34.83,84.94,0.0428,MBA,11.40,
   250 Bettina (A885 RA),120.995,5.0545,0.112,MBA,7.68,
   251 Sophia (A885 TA),27.495,20.216,0.234,MBA,9.95,
   252 Clementina (A885 TB),65.344,10.864,0.047,MBA,9.93,
   253 Mathilde (A885 VA),52.8,417.7,0.0436,MBA,10.35,0.00689
   254 Augusta (A886 FA),12.467,5.8949,0.170,MBA,11.83,
   255 Oppavia (A886 FB),56.939,19.499,0.038,MBA,10.52,
   256 Walpurga (A886 GA),66.634,16.664,0.050,MBA,9.91,
   257 Silesia (A886 GB),72.66,15.7095,0.0545,MBA,9.68,
   258 Tyche (A886 JA),64.78,10.041,0.1676,MBA,8.24,
   259 Aletheia (A886 MA),174.318,8.143,0.043,MBA,7.80,
   260 Huberta (A886 TA),101.539,8.29,0.044,OMB,9.28,
   261 Prymno (A886 UA),50.011,8.002,0.137,MBA,9.54,
   262 Valda (A886 VA),14.645,17.386,0.211,MBA,11.67,
   263 Dresda (A886 VB),23.952,16.809,0.198,MBA,10.24,
   264 Libussa (A886 YA),62.969,9.2276,0.187,MBA,8.28,
   265 Anna (A887 DA),22.767,11.681,0.113,MBA,11.88,
   266 Aline (A887 KA),109.494,13.018,0.027,MBA,8.72,
   267 Tirza (A887 KB),55.998,7.648,0.051,MBA,10.23,
   268 Adorea (A887 LA),144.585,7.8,0.041,MBA,8.60,
   269 Justitia (A887 SA),50.728,33.128,0.061,MBA,9.70,
   270 Anahita (A887 TA),51.400,15.06,0.211,MBA,8.88,
   271 Penthesilea (A887 TB),65.901,18.787,0.045,MBA,9.87,
   272 Antonia (A888 CA),26.870,3.8548,0.128,MBA,10.85,
   273 Atropos (A888 EA),29.768,23.924,0.212,MBA,10.51,
   274 Philagoria (A888 GA),27.307,17.938,0.237,MBA,9.99,
   275 Sapientia (A888 GB),103,14.933,0.049,MBA,9.03,
   276 Adelheid (A888 HA),114.723,6.315,0.051,MBA,8.56,
   277 Elvira (A888 JA),30.422,29.69,0.196,MBA,9.86,
   278 Paulina (A888 KA),32.773,6.497,0.247,MBA,9.38,
   279 Thule (A888 UA),126.59,23.896,0.0412,OMB,8.58,
   280 Philia (A888 UB),45.69,70.26,0.0444,MBA,10.97,
   281 Lucretia (A888 UC),11.036,4.348,0.226,MBA,12.04,
   282 Clorinde (A889 BA),39.03,49.35,0.0502,MBA,11.11,
   283 Emma (A889 CA),132.385,6.896,0.023,MBA,8.77,
   284 Amalia (A889 KA),52.95,8.545,0.0602,MBA,10.30,
   285 Regina (A889 PA),47.156,9.542,0.050,MBA,10.93,
   286 Iclea (A889 PB),94.30,15.365,0.0508,MBA,9.07,
   287 Nephthys (A889 QA),59.615,7.605,0.238,MBA,8.25,
   288 Glauke (A890 DA),28.981,1170,0.175,MBA,9.86,
   289 Nenetta (A890 EA),37.586,6.902,0.889,MBA,9.71,
   290 Bruna (A890 FA),9.822,13.807,0.314,MBA,12.04,
   291 Alice (A890 HA),10.456,4.313,0.425,MBA,11.54,
   292 Ludovica (A890 HB),30.864,8.93,0.187,MBA,10.05,
   293 Brasilia (A890 KA),57.486,8.173,0.056,MBA,10.24,
   294 Felicia (A890 NA),51.865,10.4227,0.095,MBA,10.28,
   295 Theresia (A890 QA),28.340,10.702,0.171,MBA,10.04,
   296 Phaetusa (A890 QB),8.196,4.5385,0.379,MBA,12.53,
   297 Caecilia (A890 RA),39.48,4.163,0.1796,MBA,9.21,
   298 Baptistina (A890 RB),21.135,16.23,0.131,MBA,11.20,
   299 Thora (A890 TA),15.757,272.9,0.251,MBA,11.35,
   300 Geraldina (A890 TB),67.373,6.8423,0.052,OMB,9.75,
   301 Bavaria (A890 WA),53.042,12.253,0.057,MBA,10.49,
   302 Clarissa (A890 VA),38.53,14.381,0.0524,MBA,11.28,
   303 Josephina (A891 CA),124.923,12.497,0.034,MBA,9.08,
   304 Olga (A891 CB),65.990,18.36,0.047,MBA,10.02,
   305 Gordonia (A891 DA),47.739,12.893,0.238,MBA,8.86,
   306 Unitas (A891 EA),47.200,8.736,0.201,MBA,8.74,
   307 Nike (A891 EB),61.313,11.857,0.043,MBA,10.05,
   308 Polyxo (A891 FA),128.578,12.031,0.047,MBA,8.17,
   309 Fraternitas (A891 GA),41.075,22.398,0.056,MBA,10.65,
   310 Margarita (A891 KA),33.708,12.07,0.115,MBA,10.19,
   311 Claudia (A891 LA),26.300,7.532,0.322,MBA,10.05,
   312 Pierretta (A891 QA),46.191,10.282,0.230,MBA,8.95,
   313 Chaldaea (A891 QB),71.183,8.392,0.044,MBA,9.17,
   314 Rosalia (A891 RA),60.689,20.465,0.043,MBA,10.14,
   315 Constantia (A891 RB),6.534,5.345,0.217,MBA,12.56,
   316 Goberta (A891 RC),56.067,8.605,0.061,MBA,10.16,
   317 Roxane (A891 RD),18.648,8.169,0.926,MBA,9.75,
   318 Magdalena (A891 SA),85,42.65,0.054,MBA,9.46,
   319 Leona (A891 TA),49.943,430,0.085,OMB,10.17,
   320 Katharina (A891 TB),23.362,6.8926,0.155,MBA,10.83,
   321 Florentina (A891 TC),27.974,2.871,0.425,MBA,10.08,
   322 Phaeo (A891 WB),69.855,17.5845,0.089,MBA,9.15,
   323 Brucia (A891 YB),27.714,9.463,0.295,MBA,9.49,
   324 Bamberga (A892 DA),220.691,29.43,0.050,MBA,7.19,
   325 Heidelberga (A892 EA),75.72,6.737,0.1068,OMB,8.93,
   326 Tamara (A892 FD),93.00,14.445,0.0368,MBA,9.39,
   327 Columbia (A892 FE),30.291,5.932,0.214,MBA,10.02,
   328 Gudrun (A892 FF),145.680,10.992,0.025,MBA,9.00,
   329 Svea (A892 FG),81.057,22.778,0.039,MBA,9.62,
   330 Adalberta (A910 CB),9.111,3.5553,0.256,MBA,12.51,
