KIC,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,flag1,flag2,flag3,flag4
11134916,5627.1,118.8,115.1,3.926,0.035,0.035,0.955,0.06,0.053,16.9,1.33,1021,,1,0,
11134842,6830.5,139.9,138.2,4.206,0.03,0.032,1.432,0.068,0.066,8.44,0.71,1488,,2,0,
11134879,5370.6,87.0,87.3,4.555,0.016,0.024,0.892,0.028,0.035,20.35,1.62,29849,,1,0,0
11028071,5917.7,114.8,107.1,4.247,0.04,0.043,1.057,0.073,0.074,9.08,1.73,612,,1,0,
11028094,5334.3,98.7,87.1,4.165,0.118,0.105,0.893,0.058,0.043,21.96,1.83,10776,,1,,
11082612,5647.1,97.9,95.8,4.438,0.035,0.041,0.983,0.058,0.065,20.36,1.84,9975,,1,0,
11082584,5735.8,99.6,94.7,4.477,0.027,0.039,0.958,0.047,0.063,11.13,0.79,51879,,1,0,
11082527,5333.1,96.8,93.8,4.533,0.029,0.042,0.868,0.042,0.05,18.32,1.49,48481,,1,0,
11082570,5209.5,91.9,86.0,4.568,0.02,0.032,0.826,0.031,0.044,22.58,2.25,13499,,1,0,
11082576,5589.0,93.2,90.4,4.496,0.023,0.033,0.95,0.041,0.052,30.42,4.3,3757,,1,0,
11082591,5230.4,95.8,86.4,4.458,0.044,0.036,0.842,0.057,0.045,33.99,3.38,6951,,1,0,
11136148,6172.7,132.5,129.7,4.181,0.037,0.037,1.317,0.051,0.058,11.36,1.27,2331,,1,0,
11082733,5617.8,97.4,94.3,4.516,0.023,0.035,0.914,0.039,0.056,21.07,2.11,13636,,1,0,
11136098,6079.5,114.7,106.5,4.053,0.04,0.05,1.165,0.095,0.084,10.3,0.84,19346,,1,0,
11136077,5497.6,96.7,92.5,4.533,0.027,0.041,0.881,0.043,0.055,20.63,1.76,11261,,1,0,
11135903,5473.6,112.8,103.3,4.202,0.044,0.041,0.911,0.065,0.056,29.55,3.05,8259,,1,0,
11135734,6320.2,142.3,133.7,4.159,0.031,0.035,1.272,0.055,0.062,22.39,1.61,1584,,1,0,
11135585,5297.3,107.7,98.6,4.369,0.112,0.157,0.862,0.056,0.046,25.05,2.22,11523,,1,,
11135486,5439.8,87.0,88.7,4.535,0.024,0.036,0.886,0.037,0.046,29.18,2.89,4807,,1,0,
11135491,5170.1,85.9,80.4,4.576,0.018,0.029,0.82,0.028,0.041,30.01,3.13,5803,,1,0,
11135657,5356.7,96.9,95.1,4.537,0.027,0.04,0.859,0.041,0.057,9.63,0.77,24042,,1,0,
11135612,5990.4,119.5,112.7,4.266,0.037,0.041,1.09,0.07,0.074,26.62,3.98,1891,,1,0,
11188605,6421.7,133.0,126.3,4.04,0.031,0.032,1.375,0.064,0.061,15.86,1.38,4714,,1,0,
11136111,6039.0,190.0,232.0,4.414,0.07,0.21,1.101,0.151,0.151,27.56,3.79,2567,,2,,
11189117,5934.8,97.0,94.0,4.442,0.02,0.029,1.063,0.038,0.051,17.0,1.96,3500,,1,0,
11188934,6457.1,132.9,139.1,4.166,0.032,0.033,1.306,0.056,0.051,8.8,0.96,652,,1,0,
11188964,5626.2,104.7,102.7,4.421,0.053,0.063,0.964,0.063,0.064,21.49,1.7,969,,1,0,
11242878,5408.5,105.9,98.3,4.282,0.041,0.04,0.958,0.056,0.054,11.06,0.78,35997,,1,0,
11242879,6567.2,126.0,125.4,4.274,0.025,0.03,1.337,0.05,0.052,3.44,0.34,3661,,1,0,
11242954,5982.4,106.8,102.2,4.457,0.03,0.04,1.01,0.05,0.06,10.52,0.79,22726,,1,0,
11242804,5833.1,102.7,103.7,4.413,0.034,0.04,1.019,0.06,0.067,22.39,1.88,2449,,1,0,
11242798,6514.6,130.9,135.6,4.181,0.032,0.03,1.377,0.066,0.056,6.79,0.7,1764,,1,0,
11242841,6502.7,129.9,121.3,3.885,0.031,0.036,1.516,0.071,0.112,5.07,0.68,1483,,1,0,
11188895,5587.4,95.1,96.0,4.518,0.024,0.035,0.897,0.04,0.052,26.11,2.59,4183,,1,0,
11242646,5448.5,118.9,112.6,3.781,0.061,0.062,1.198,0.096,0.101,0.75,0.05,14309,1,1,0,
11188735,5272.5,89.1,85.8,4.58,0.019,0.03,0.811,0.029,0.041,11.53,0.9,30242,,1,0,
11242440,6153.0,311.0,506.0,4.471,0.075,0.21,1.065,0.171,0.189,21.63,1.96,3649,,2,,
11242631,6177.0,166.0,203.0,4.516,0.05,0.2,0.982,0.113,0.126,2.43,0.17,16853,1,2,,
11295560,6014.0,181.0,199.0,4.486,0.042,0.224,1.101,0.13,0.145,20.25,2.32,827,,2,,
11295383,5171.2,96.1,89.4,4.561,0.024,0.035,0.816,0.036,0.053,21.81,2.02,12809,,1,0,
11295395,4887.6,83.7,77.0,4.554,0.029,0.029,0.785,0.04,0.04,26.3,2.15,19351,,1,0,
11188489,5605.6,114.3,112.2,4.037,0.053,0.036,1.094,0.099,0.062,5.88,0.41,78390,1,1,0,
11188334,5977.4,110.4,114.3,3.862,0.099,0.099,1.406,0.153,0.133,27.94,1.9,815,,1,,
11188344,5890.7,105.8,104.7,4.4,0.035,0.045,1.022,0.064,0.075,18.84,1.93,629,,1,0,
11242181,5315.3,103.1,98.5,4.531,0.033,0.045,0.851,0.046,0.056,19.79,1.66,24601,,1,0,
11242087,5071.4,84.6,77.7,4.567,0.018,0.029,0.846,0.029,0.04,15.53,1.93,31810,,1,0,
11242076,5314.0,101.3,87.4,4.386,0.053,0.045,0.859,0.057,0.041,30.42,5.0,2751,,1,0,
11242118,5801.3,107.4,102.7,4.502,0.031,0.041,0.941,0.051,0.057,21.22,2.03,2112,,1,0,
11188113,6346.1,125.3,122.3,3.917,0.033,0.035,1.155,0.052,0.06,7.23,1.19,416,,1,0,
11241837,5827.2,121.2,115.0,4.194,0.044,0.042,0.867,0.063,0.052,18.39,2.73,950,,1,0,
11241818,5839.5,115.9,109.1,4.053,0.046,0.044,1.153,0.115,0.077,32.13,2.28,2104,,1,0,
11241813,5975.0,116.4,114.0,4.374,0.041,0.042,0.968,0.069,0.068,34.9,7.63,3137,,1,0,
11294748,5175.2,82.4,79.9,4.512,0.031,0.038,0.88,0.048,0.053,38.75,7.35,3321,,1,0,
11294604,5448.3,97.8,92.9,4.566,0.027,0.037,0.838,0.045,0.05,25.76,1.87,4079,,1,0,
11294618,5412.8,105.0,95.5,4.441,0.044,0.037,0.83,0.06,0.049,4.6,0.31,1384,,1,0,
