Name,PSRJ,P0,P1,F0,Binary,Type,Age,Bsurf,Edot,Dist
"B1818-04","J1820-0427",0.598075929665,6.33137E-15,1.67202850073," "," ",1500000.0,1.96999997E12,1.1999999696854499E33,0.3
"B1740-03","J1743-0339",0.44464510677,1.5562E-15,2.2489846054," "," ",4530000.0,8.4199997E11,7.000000186963004E32,1.59
"B1758-03","J1801-0357",0.92149067377,3.3101E-15,1.08519817776," "," ",4410000.0,1.76999996E12,1.7000000298139635E32,7.13
"J1800-0125","J1800-0125",0.78318548958,1.1537E-14,1.27683673064," "," ",1080000.0,3.04000008E12,9.500000305706633E32,2.24
"J1930-1852","J1930-1852",0.18552016047926,1.8001E-17,5.390249757313,"BT"," ",1.63E8,5.8500002E10,1.1000000085914504E32,2.34
"J1925-16","J1925-16",3.8858,,0.257347," ","RRAT",,,,7.0
"B1940-12","J1943-1237",0.9724288509136,1.655686E-15,1.028352870301," "," ",9310000.0,1.28E12,7.09999994796817E31,1.64
"J1926-1314","J1926-1314",4.86428379983,3.644E-14,0.20558011028," "," ",2110000.0,1.34999997E13,1.200000042445026E31,2.09
"J1946-1312","J1946-1312",0.491865489484,1.9866E-15,2.03307615879," "," ",3920000.0,1.0E12,6.600000051548703E32,5.64
"B2003-08","J2006-0807",0.580871337031,4.601E-17,1.721551635017," "," ",2.0E8,1.65000004E11,9.299999987888438E30,2.01
"J1944-10","J1944-10",0.409135,,2.444181," ","RRAT",,,,1.76
"J1915-11","J1915-11",2.177,,0.45935," ","RRAT",,,,4.76
"J1911-1114","J1911-1114",0.0036257455714,1.416E-20,275.80534273796,"ELL1"," ",4.06E9,2.29E8,1.2000000569969412E34,1.59
"J1904-1224","J1904-1224",0.75080812238,7.4236E-16,1.331898217656," "," ",1.6E7,7.5500002E11,6.899999789311548E31,5.63
"J1918-1052","J1918-1052",0.798692542358,8.653E-16,1.25204624679," "," ",1.46E7,8.4100003E11,6.700000085402278E31,2.78
"J1920-09","J1920-09",1.038,,0.963391," "," ",,,,5.75
"J1857-1027","J1857-1027",3.6872190477,1.055E-14,0.27120710407," "," ",5540000.0,6.3100001E12,8.29999976303952E30,3.64
"J1902-10","J1902-10",0.7868,,1.270971," "," ",,,,3.15
"J1900-09","J1900-09",1.424,,0.702247," "," ",,,,5.76
"J1901-0906","J1901-0906",1.781927762343,1.63829E-15,0.56118997702," "," ",1.72E7,1.73000006E12,1.0999999631167153E31,2.42
"J1903-0848","J1903-0848",0.88732464056,1.33E-15,1.12698324186," "," ",1.06E7,1.1E12,7.499999810534062E31,2.32
"J1855-0941","J1855-0941",0.34540115992,2.4E-16,2.8951842554," "," ",2.28E7,2.90999992E11,2.3000000510364764E32,4.87
"J1858-0736","J1858-0736",0.551058591,5.06E-15,1.814689066," "," ",1730000.0,1.69000003E12,1.1999999696854499E33,7.2
"B1900-06","J1903-0632",0.43188708466,3.4014E-15,2.3154200149," "," ",2010000.0,1.22999996E12,1.6999999934341754E33,8.77
"J1918-0642","J1918-0642",0.00764587288391,2.56944E-20,130.789514184124,"ELL1"," ",4.71E9,4.49E8,2.3000000510364764E33,0.91
"B1911-04","J1913-0440",0.825935803096,4.06801E-15,1.21074785262," "," ",3220000.0,1.85000002E12,2.9000000722589896E32,3.22
"J2013-0649","J2013-0649",0.580187269001,6.007E-16,1.723581425221," "," ",1.53E7,5.97E11,1.200000042445026E32,4.85
"J2033+0042","J2033+0042",5.01339800063,1.013E-14,0.19946551219," ","RRAT",7840000.0,7.2100002E12,3.199999980552092E30,2.87
"J2005-0020","J2005-0020",2.27966105858,2.56626E-14,0.438661702026," "," ",1410000.0,7.7399998E12,8.600000001024452E31,2.16
"B1942-00","J1945-0040",1.045632444772,5.3466E-16,0.956359000718," "," ",3.1E7,7.5699998E11,1.7999999499807014E31,3.53
"J1937-00","J1937-00",0.2401,,4.164931," "," ",,,,3.6
"J1941+0121","J1941+0121",0.217317451828,1.913E-16,4.6015632504," "," ",1.8E7,2.05999997E11,7.400000322377307E32,2.89
"J2017+0603","J2017+0603",0.00289621581556,8.3E-21,345.2781366039,"ELL1","HE",5.53E9,1.57E8,1.3000000035390254E34,1.32
"J1845-0826","J1845-0826",0.634354346767,9.353E-15,1.57640600257," "," ",1070000.0,2.45999993E12,1.400000037392601E33,4.87
"J1840-0840","J1840-0840",5.3093766847,2.37E-14,0.18834602617," "," ",3550000.0,1.13000002E13,6.199999802447563E30,4.94
"J1843-0806","J1843-0806",0.536413665506,1.7359E-14,1.86423289395," "," ",490000.0,3.09000012E12,4.4000000343658016E33,4.55
"J1840-0815","J1840-0815",1.096439972228,2.4151E-15,0.912042633732," "," ",7190000.0,1.65E12,7.1999997999228055E31,4.5
"J1840-0809","J1840-0809",0.955672135909,2.351E-15,1.046383966243," "," ",6440000.0,1.52000004E12,1.1000000085914504E32,5.77
"J1842-0800","J1842-0800",1.25546857429,1.94E-16,0.796515357276," "," ",1.03E8,4.98999984E11,3.899999967416078E30,4.23
"J1846-0749","J1846-0749",0.350109572852,1.2616E-15,2.85624866482," "," ",4400000.0,6.73E11,1.1999999696854499E33,10.1
"J1846-07492","J1846-07492",0.861379642641,5.187E-15,1.16092829514," "," ",2630000.0,2.13999996E12,3.1999999919207756E32,4.47
"J1845-0743","J1845-0743",0.104694545163,3.666E-16,9.5515960115," "," ",4520000.0,1.98000001E11,1.3000000035390254E34,5.85
"J1843-0744","J1843-0744",0.475392526561,1.33038E-14,2.10352486446," "," ",566000.0,2.53999999E12,4.9000000581145276E33,5.77
"J1853-0649","J1853-0649",1.048132105087,1.548E-15,0.95407820746," "," ",1.07E7,1.29000001E12,5.299999884300631E31,1.89
"J1852-0635","J1852-0635",0.52415088472,1.464E-14,1.9078475858," "," ",567000.0,2.79999991E12,3.9999998989514993E33,4.6
"B1846-06","J1849-0636",1.451319471078,4.623982E-14,0.689028170522," "," ",497000.0,8.2899999E12,5.9999998484272494E32,3.68
"J1849-0614","J1849-0614",0.95338418817,5.3889E-14,1.04889509644," "," ",280000.0,7.2500002E12,2.5000001187436275E33,2.84
"J1840-0753","J1840-0753",0.4378690017,1.0E-16,2.2837880647," "," ",6.94E7,2.11999998E11,4.699999863078118E31,11.71
"J1843-0702","J1843-0702",0.191614063108,2.1402E-15,5.21882362796," "," ",1420000.0,6.4799998E11,1.2000000569969412E34,4.57
