Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
NGC7814	-10.119	$-{0.104}_{-0.018}^{+0.018}$	${0.022}_{-0.002}^{+0.002}$	${14.76}_{-0.61}^{+0.64}$	${89.33}_{-0.73}^{+0.47}$	${1.40}_{-0.12}^{+0.14}$	${0.83}_{-0.12}^{+0.13}$	${0.58}_{-0.05}^{+0.05}$	
UGC00128	-11.228	${0.016}_{-0.007}^{+0.007}$	${0.029}_{-0.005}^{+0.002}$	${49.37}_{-5.80}^{+6.76}$	${52.53}_{-4.89}^{+5.65}$	${1.12}_{-0.09}^{+0.10}$	${1.78}_{-0.19}^{+0.21}$	cdots	
UGC00191	-10.736	${0.103}_{-0.042}^{+0.056}$	${0.021}_{-0.003}^{+0.002}$	${16.17}_{-2.61}^{+3.28}$	${48.05}_{-4.25}^{+4.39}$	${1.28}_{-0.11}^{+0.12}$	${0.78}_{-0.11}^{+0.13}$	cdots	
UGC00634	-11.252	${0.029}_{-0.029}^{+0.034}$	${0.017}_{-0.003}^{+0.006}$	${29.87}_{-4.99}^{+6.19}$	${41.44}_{-4.83}^{+5.38}$	${1.39}_{-0.12}^{+0.13}$	${0.45}_{-0.08}^{+0.10}$	cdots	
UGC00731	-11.329	$-{0.185}_{-0.057}^{+0.390}$	${0.024}_{-0.003}^{+0.002}$	${5.02}_{-1.11}^{+12.66}$	${56.35}_{-3.55}^{+3.65}$	${1.16}_{-0.13}^{+0.14}$	${0.75}_{-0.24}^{+2.32}$	cdots	
UGC00891	-11.289	$-{0.106}_{-0.024}^{+0.021}$	${0.023}_{-0.001}^{+0.003}$	${5.44}_{-0.76}^{+0.90}$	${56.32}_{-4.91}^{+5.03}$	${1.34}_{-0.12}^{+0.13}$	${0.42}_{-0.08}^{+0.10}$	cdots	
UGC01281	-11.381	${0.015}_{-0.018}^{+0.020}$	${0.030}_{-0.002}^{+0.004}$	${5.32}_{-0.23}^{+0.24}$	${89.33}_{-0.73}^{+0.47}$	${1.42}_{-0.12}^{+0.13}$	${0.45}_{-0.08}^{+0.09}$	cdots	
UGC02259	-10.967	${0.223}_{-0.071}^{+0.099}$	${0.024}_{-0.003}^{+0.002}$	${16.03}_{-2.65}^{+3.25}$	${44.36}_{-2.71}^{+2.74}$	${1.30}_{-0.11}^{+0.12}$	${0.89}_{-0.13}^{+0.16}$	cdots	
UGC02487	-10.562	${0.100}_{-0.012}^{+0.012}$	${0.043}_{-0.005}^{+0.002}$	${73.77}_{-8.03}^{+9.09}$	${46.14}_{-3.42}^{+3.57}$	${1.49}_{-0.13}^{+0.15}$	${0.58}_{-0.10}^{+0.12}$	${0.59}_{-0.09}^{+0.10}$	
UGC02885	-10.646	${0.009}_{-0.025}^{+0.026}$	${0.050}_{-0.007}^{+0.005}$	${81.67}_{-6.32}^{+6.86}$	${66.70}_{-3.53}^{+3.60}$	${1.44}_{-0.13}^{+0.14}$	${0.44}_{-0.06}^{+0.06}$	${0.92}_{-0.10}^{+0.11}$	
UGC02916	-9.938	${0.295}_{-0.074}^{+0.090}$	${0.041}_{-0.004}^{+0.006}$	${58.36}_{-5.64}^{+6.36}$	${58.52}_{-3.78}^{+3.95}$	${1.39}_{-0.12}^{+0.13}$	${1.10}_{-0.13}^{+0.15}$	${0.43}_{-0.04}^{+0.05}$	
UGC02953	-9.497	$-{0.006}_{-0.006}^{+0.006}$	${0.026}_{-0.005}^{+0.003}$	${13.51}_{-0.76}^{+0.86}$	${64.56}_{-3.03}^{+3.05}$	${1.51}_{-0.13}^{+0.15}$	${0.57}_{-0.02}^{+0.03}$	${0.58}_{-0.02}^{+0.02}$	
UGC03205	-9.813	${0.004}_{-0.019}^{+0.019}$	${0.012}_{-0.002}^{+0.003}$	${42.44}_{-4.07}^{+4.52}$	${70.75}_{-3.54}^{+3.59}$	${1.33}_{-0.11}^{+0.12}$	${0.63}_{-0.08}^{+0.09}$	${1.30}_{-0.13}^{+0.14}$	
UGC03546	-10.141	${0.020}_{-0.023}^{+0.022}$	${0.015}_{-0.001}^{+0.003}$	${24.38}_{-2.88}^{+3.30}$	${60.82}_{-4.19}^{+4.29}$	${1.40}_{-0.12}^{+0.13}$	${0.58}_{-0.08}^{+0.10}$	${0.43}_{-0.05}^{+0.06}$	
