Galaksi,Sinif,n_nokta,M_bar_Msun,Sigma_yildiz,N_nukleon,l_omega_etkin_m,l_omega_mikro_m,l_omega_mikro_fm,galaksi_ici_sacilma_dex
NGC3521,Sb–Sbc,5,4.6088e+10,3.1,5.3152e+67,2.2883e+20,3.1917e-14,31.9,0.038
NGC2903,Sb–Sbc,18,4.4472e+10,0.3,5.1432e+67,2.5709e+20,3.5640e-14,35.6,0.027
NGC7814,Sa–Sab,12,4.4264e+10,1.6,5.0631e+67,1.9171e+20,2.6949e-14,26.9,0.037
UGC03546,Sa–Sab,11,4.3565e+10,1.4,5.1733e+67,2.4963e+20,3.5676e-14,35.7,0.035
NGC3198,Sc–Scd,38,4.2429e+10,14.6,1.8996e+67,1.5550e+20,4.1523e-14,41.5,0.070
NGC3726,Sc–Scd,5,3.8560e+10,0.1,4.5788e+67,2.5125e+20,3.7094e-14,37.1,0.096
NGC6946,Sc–Scd,28,3.8360e+10,1.4,4.4734e+67,3.3413e+20,5.0607e-14,50.6,0.024
NGC3877,Sc–Scd,4,3.5093e+10,151.7,1.1144e+67,1.0248e+20,3.4108e-14,34.1,0.042
UGC08699,Sa–Sab,27,3.4506e+10,23.5,3.0563e+67,1.8223e+20,3.1960e-14,32.0,0.041
NGC3893,Sc–Scd,7,3.2229e+10,2.7,3.4000e+67,1.8821e+20,3.2057e-14,32.1,0.031
NGC2683,Sb–Sbc,9,3.1273e+10,0.1,3.7175e+67,2.2717e+20,3.6914e-14,36.9,0.075
ESO079-G014,Sb–Sbc,12,2.9099e+10,41.5,1.3061e+67,1.1437e+20,2.9362e-14,29.4,0.137
NGC4100,Sb–Sbc,23,2.8993e+10,3.3,3.0289e+67,1.5587e+20,3.0054e-14,30.1,0.086
NGC6015,Sc–Scd,43,2.6021e+10,3.0,2.4522e+67,1.6662e+20,3.2112e-14,32.1,0.074
NGC4559,Sc–Scd,23,2.2447e+10,0.4,1.7680e+67,2.0698e+20,5.4720e-14,54.7,0.048
UGC00128,Sdm–Sm,21,2.1157e+10,0.2,2.2956e+67,1.8115e+20,3.6035e-14,36.0,0.102
NGC4013,Sb–Sbc,28,1.7815e+10,0.0,1.9777e+67,1.0999e+20,2.4912e-14,24.9,0.084
NGC3769,Sb–Sbc,9,1.5469e+10,0.3,1.2470e+67,1.4202e+20,4.0627e-14,40.6,0.026
UGC03580,Sa–Sab,17,1.4988e+10,0.8,1.2846e+67,1.5317e+20,4.6220e-14,46.2,0.090
NGC3917,Sc–Scd,16,1.4105e+10,15.8,1.0885e+67,1.0281e+20,3.2958e-14,33.0,0.090
NGC1003,Sc–Scd,34,1.2758e+10,0.0,8.0369e+66,9.2080e+19,3.6215e-14,36.2,0.084
NGC2403,Sc–Scd,72,1.2706e+10,25.1,4.9674e+66,8.9115e+19,3.3056e-14,33.1,0.101
UGC05005,Im,10,1.2466e+10,1.8,3.2779e+66,8.5509e+19,5.1534e-14,51.5,0.137
NGC4183,Sc–Scd,22,1.1366e+10,1.6,1.0586e+67,1.4142e+20,4.0414e-14,40.4,0.078
NGC4010,Sd,8,1.0378e+10,13.0,9.6751e+66,1.2979e+20,4.0096e-14,40.1,0.098
F568-3,Sd,17,1.0199e+10,9.8,1.6781e+66,4.1200e+19,3.3587e-14,33.6,0.213
UGC06930,Sd,9,1.0106e+10,3.0,7.6013e+66,1.0613e+20,3.8493e-14,38.5,0.106
